text,sentiment
☹️,negative
😔,negative
😞,negative
😥,negative
รำ,negative
Noๆ,negative
Rip,negative
T_T,negative
กาก,negative
โกง,negative
ควย,negative
แพง,negative
ยาก,negative
เลว,negative
😣😣,negative
ควยๆ,negative
จริง,negative
ชุ่ย,negative
เซ็ง,negative
ไม่ๆ,negative
รำ😑,negative
จิงคะ,negative
ตอแหล,negative
โนๆๆๆ,negative
บ่ 👿,negative
ผอมมม,negative
เสือก,negative
อีกละ,negative
อีสัส,negative
ไอสัด,negative
😣😣😣,negative
Nooooo,negative
กวนตีน,negative
จะอ๊วก,negative
ตังค่ะ,negative
บ่อยาก,negative
บ่อิ่ม,negative
พอเหอะ,negative
แพง555,negative
แพงจุง,negative
แพงน่ะ,negative
ไม่ !!,negative
ไม่ทัน,negative
ไม่ไป!,negative
ไม่หิว,negative
ไม่เอา,negative
แย่จัง,negative
แย่มาก,negative
ลาก่อย,negative
ส่งช้า,negative
สัสหมา,negative
เสียใจ,negative
หน้าหี,negative
อ้วนนน,negative
อ้าววว,negative
แอ่กกก,negative
กินมั้ย,negative
โกงมากก,negative
เข็ดยัง,negative
โคตรแย่,negative
เง้ออออ,negative
แงยุเวร,negative
โง่ดว้ย,negative
ตั้ง700,negative
เบื่อละ,negative
ฝี แหวะ,negative
พอ อิ่ม,negative
แพงด้วย,negative
แพ้โซฟี,negative
มั่วแระ,negative
ไม่ไปละ,negative
แยกย้าย,negative
ลดนน.ยุ,negative
สัส ไม่,negative
เสียใจจ,negative
เสียใจย,negative
เสียวคอ,negative
แหม่...,negative
โห่ ไกล,negative
อดอีกละ,negative
อ๋อคร้า,negative
กระลาแลน,negative
กล่องบุบ,negative
กลัวอ้วน,negative
เงียบฉี่,negative
เซ็งเป็ด,negative
ไดเอทจ้ะ,negative
น่าสมเพช,negative
โนวววววว,negative
พอเถอะ..,negative
แพงอีดอก,negative
แม่มึงสิ,negative
ไม่กินจบ,negative
ไม่กินนน,negative
ไม่ไป???,negative
ไม่รู้คะ,negative
ไม่หร่อย,negative
ย้อนแย้ง,negative
ส่งช้าไป,negative
ส้นตีนนน,negative
สาขาน้อย,negative
เสียใตไง,negative
เสียเวลา,negative
หยุดก่อน,negative
อด😭😭😭,negative
อ้วนนเด้,negative
อิ่มแล้ว,negative
อีใจร้าย,negative
เออแพง55,negative
กินไม่เปน,negative
กุแพ้โซฟี,negative
จะอ้วก!!!,negative
ดีแม๊กอืด,negative
ตอแหลป่าว,negative
ตะเตือนไต,negative
โนวมันนี่,negative
บ่กินลีโอ,negative
เพลียยยยย,negative
แพงไม่แดก,negative
แพงอยู่นะ,negative
ไม่กิน285,negative
ไม่กินอ่ะ,negative
ไม่คุ้มมม,negative
ไม่จ้ะไม่,negative
ไม่ชอบกอน,negative
ไม่ชอบบบบ,negative
ไม่ใช่แนว,negative
ไม่ดีกว่า,negative
ไม่น่ากิน,negative
ไม่เอาอ่ะ,negative
รอบนี้ยาว,negative
แรงชิบหาย,negative
ลดหุ่นยุ่,negative
สะพรึงค่ะ,negative
เสียจายยย,negative
เสียใจข่ะ,negative
เสียใจเลย,negative
อย่ามาชีส,negative
😩😩😩😩😩,negative
กฏมีไว้แหก,negative
กุไม่ไปและ,negative
เกลียดดดดด,negative
ควยเลยครับ,negative
เงินมีน้อย,negative
จืดจริงๆคะ,negative
แต่บ่ได้ไป,negative
ปวดหัวครับ,negative
เป็ด3 ชิ้น,negative
พูเกจไม่มี,negative
แพงจังวะ!!,negative
แพงเบาๆแหะ,negative
เมียไม่ชอบ,negative
ไม่กินนนนน,negative
ไม่กินเป็ด,negative
ไม่กินลีโอ,negative
ไม่แดกแล้ว,negative
ไม่ได้ไปอะ,negative
ไม่ทันแล้ว,negative
ไม่น่าอิ่ม,negative
ไม่ว่างค้ะ,negative
ไม่อยากกิน,negative
ไม่อร่อย..,negative
ไม่อร่อยอะ,negative
ไม่เอากลัว,negative
ไม่เอาชาบู,negative
ระยองไม่มี,negative
ว่างนานสัส,negative
เวนอดเลยยย,negative
เสียจุยยยย,negative
เสียดายจัง,negative
เสียดายตัง,negative
เสียเวลารอ,negative
หมดโปรพอดี,negative
เหลื่อมล้ำ,negative
อ้วนมากค่ะ,negative
กินเบื่อแระ,negative
ขวางทางเท้า,negative
ขับรถแย่มาก,negative
ชีวาสนี้เมา,negative
เชื่อได้หรอ,negative
ตามใจ รำคาญ,negative
ทัชสกรีนแย่,negative
บ่แซ่บ หม็น,negative
บัตรหมดแล้ว,negative
บางจริงก้อน,negative
แม่บอก ไม่!,negative
ไม่ชอบซีวิค,negative
ไม่ทัน จบนะ,negative
ไม่มีตังงงง,negative
ไม่มีภูเก็ต,negative
ไม่อร่อยเลย,negative
ยังไม่พร้อม,negative
รวยมากมั้งง,negative
ลบแอพดีกว่า,negative
ลองดิกาก555,negative
ว้าเสียดายย,negative
เสือกเก่งดี,negative
หมูมีแต่มัน,negative
หลอกลวงป่าว,negative
หัวดอ...ตรท,negative
😞😞😞😞😞😞,negative
กระจอกแดก285,negative
โกงหน้าด้านๆ,negative
เคี้ยวไม่ไหว,negative
ใครจะกล้ากิน,negative
งั้นๆแหละค่ะ,negative
จ่ายเตมดีก่า,negative
จำกัดสาขาง่ะ,negative
ตะเกียบไม่ดี,negative
ตังไหนหละพ่อ,negative
ที่จอดรถน้อย,negative
เทอไม่ชอบกิน,negative
เธอเบื่ออ่าา,negative
บ่!!! มีเงิร,negative
เบียร์ยูแม่ง,negative
แพ้แดกช้าง😜,negative
มันถึง 29 😭,negative
ไม่กินเผ็ดอะ,negative
ไม่กินเรดจ้า,negative
ไม่กินฮอตพอต,negative
ไม่เคยกินอ่ะ,negative
ไม่ชอบนิสสัน,negative
ไม่ใช่บุฟน้า,negative
ไม่ใช่เรื่อง,negative
ไม่มีแถวบ้าน,negative
ไม่มีบัตรจ้า,negative
ไม่เห็นมีค่ะ,negative
ไม่เห็นมีเลย,negative
ลดน้อยจุง 😂,negative
ลดเป้ปซี่เอง,negative
แสนนึงโหดมาก,negative
ห่วยไอ้เหี้ย,negative
หาเงินแปบ555,negative
หิวจริงแต่งด,negative
หึ KFC ดีก่า,negative
เห้อ ลำบากใจ,negative
ไหนบอกจะเลิก,negative
อดชิ งั้นอ่ะ,negative
อ้วนตาย 5555,negative
อะไร หมดแล้ว,negative
กลืนยาก😄😄😄,negative
ของไม่เยอะเลย,negative
ขำไม่ออกจริงๆ,negative
เข้าเช้ามากิน,negative
เข้าไม่ได้อ่ะ,negative
แคมรี่เก่าคับ,negative
งดกินไปก่อนนน,negative
ช้ากว่าเคอรี่,negative
