text,sentiment
ฉันชอบเฉดสีเปลือยและสีชมพูสองสามอันและในขณะที่ฉันรู้สึกกล้าฉันซื้อลิปสติก loccitane เปลือยและฉันก็รักมันอย่างแน่นอน,positive
ฉันรู้สึกงงงวยเหมือนไม่มีความสุขหรือเศร้า,positive
ฉันรู้สึกเป็นเกียรติที่ฉันได้รับเลือกให้พูดในงานปีนี้,positive
ฉันควรจะรู้สึกสงบถ้าฉันรอความเงียบ,positive
ฉันรู้สึกในช่วงฤดูหนาวฉันสบายดีสวม synthetics แต่ในฤดูใบไม้ผลิและฤดูร้อนมันจะต้องเป็นธรรมชาติด้วยคลื่นความร้อนนิวยอร์กดูเหมือนจะได้รับทุกเดือนกรกฎาคม,positive
ive เข้าร่วมโรงเรียนที่ฉันรู้สึกว่าได้รับการยอมรับ,positive
@ Wobblespurt และฉันมีการประชุมที่น่าทึ่งฉันเกือบจะโดนัลด์เลือดของฉันกับอัศวินแห่งความตายจบลงด้วยการมีค่ายกับเธอ,positive
Halfway (?) ผ่าน HZD .. เพิ่งซื้อ RDR2 เมื่อสัปดาห์ที่แล้ว IDK ถ้า Matatapos Ko Siya ก่อนที่จะปล่อย Ng Cyberpunk 2077 ในเดือนพฤศจิกายน .. เพิ่มขึ้นถึงมีนาคม 2021,positive
ฉันรู้สึกเหมือนฉันเป็นหัวใจของสิ่งที่พิเศษจริงๆ,positive
ฉันรู้สึกอยากรู้อยากเห็นมากขึ้นเกี่ยวกับเพื่อนบ้านของฉันไม่เพียง แต่งานทาสีและค่าทรัพย์สินของพวกเขา,positive
ฉันยังรู้สึกสนุกกับคนที่ดูดีเหล่านี้รอบตัวฉันไม่จำเป็นต้องเดินผ่าน LOL,positive
ตอนนี้ฉันรู้สึกกล้าพอที่จะเปลี่ยนแปลงตู้เสื้อผ้าของฉัน,positive
